,box,angry,disgust,fear,happy,sad,surprise,neutral
99,"(339, 254, 92, 92)",0.04,0.0,0.06,0.15,0.02,0.01,0.73
100,"(339, 253, 93, 93)",0.04,0.01,0.04,0.18,0.02,0.01,0.7
101,"(339, 254, 92, 92)",0.02,0.0,0.03,0.26,0.01,0.01,0.68
102,"(339, 254, 92, 92)",0.05,0.01,0.08,0.25,0.03,0.01,0.56
103,"(338, 254, 91, 91)",0.04,0.01,0.08,0.38,0.03,0.0,0.46
104,"(336, 247, 98, 98)",0.05,0.02,0.04,0.39,0.03,0.01,0.48
105,"(338, 254, 92, 92)",0.04,0.0,0.11,0.16,0.02,0.01,0.66
106,"(337, 249, 97, 97)",0.08,0.03,0.06,0.32,0.04,0.01,0.47
107,"(338, 254, 92, 92)",0.04,0.01,0.08,0.17,0.02,0.01,0.68
108,"(338, 250, 96, 96)",0.04,0.02,0.04,0.34,0.04,0.0,0.52
109,"(338, 254, 92, 92)",0.03,0.01,0.06,0.23,0.02,0.01,0.64
110,"(338, 254, 93, 93)",0.02,0.0,0.04,0.2,0.01,0.0,0.73
111,"(338, 250, 96, 96)",0.06,0.02,0.07,0.2,0.06,0.0,0.6
112,"(337, 253, 94, 94)",0.02,0.01,0.04,0.18,0.02,0.0,0.72
113,"(338, 251, 96, 96)",0.05,0.01,0.06,0.33,0.03,0.01,0.51
114,"(337, 249, 98, 98)",0.05,0.01,0.06,0.26,0.07,0.01,0.55
115,"(339, 250, 96, 96)",0.03,0.01,0.06,0.15,0.05,0.01,0.7
116,"(338, 250, 96, 96)",0.05,0.03,0.07,0.18,0.06,0.01,0.61
117,"(338, 250, 96, 96)",0.04,0.02,0.06,0.26,0.05,0.0,0.57
118,"(337, 249, 98, 98)",0.05,0.02,0.05,0.28,0.04,0.0,0.56
119,"(338, 251, 96, 96)",0.08,0.03,0.08,0.25,0.03,0.01,0.53
120,"(337, 249, 99, 99)",0.04,0.01,0.03,0.28,0.04,0.0,0.6
121,"(336, 249, 100, 100)",0.06,0.01,0.04,0.2,0.03,0.0,0.66
122,"(338, 250, 97, 97)",0.03,0.01,0.06,0.28,0.03,0.0,0.58
123,"(338, 250, 97, 97)",0.02,0.0,0.03,0.33,0.02,0.0,0.6
124,"(337, 249, 98, 98)",0.02,0.0,0.04,0.07,0.05,0.0,0.81
125,"(338, 254, 92, 92)",0.02,0.0,0.06,0.02,0.03,0.0,0.86
126,"(339, 254, 91, 91)",0.04,0.0,0.1,0.01,0.05,0.01,0.79
127,"(339, 254, 90, 90)",0.04,0.0,0.04,0.0,0.04,0.01,0.87
128,"(338, 251, 96, 96)",0.03,0.0,0.03,0.0,0.04,0.0,0.9
129,"(339, 254, 90, 90)",0.04,0.0,0.02,0.0,0.03,0.0,0.9
130,"(338, 253, 92, 92)",0.04,0.0,0.03,0.0,0.04,0.01,0.88
131,"(338, 251, 97, 97)",0.01,0.0,0.02,0.0,0.02,0.0,0.95
132,"(338, 253, 94, 94)",0.02,0.0,0.24,0.0,0.06,0.06,0.61
133,"(338, 254, 93, 93)",0.04,0.0,0.33,0.0,0.06,0.1,0.46
134,"(337, 253, 94, 94)",0.06,0.01,0.36,0.01,0.09,0.14,0.34
135,"(337, 250, 100, 100)",0.03,0.0,0.1,0.01,0.05,0.02,0.79
136,"(338, 254, 94, 94)",0.03,0.0,0.13,0.03,0.03,0.05,0.73
137,"(337, 253, 95, 95)",0.05,0.01,0.17,0.05,0.07,0.02,0.65
138,"(338, 253, 94, 94)",0.04,0.0,0.17,0.03,0.04,0.01,0.71
139,"(338, 254, 92, 92)",0.03,0.0,0.08,0.04,0.02,0.01,0.82
140,"(339, 254, 92, 92)",0.03,0.0,0.07,0.04,0.02,0.0,0.83
141,"(336, 250, 97, 97)",0.04,0.01,0.07,0.06,0.03,0.0,0.8
142,"(338, 254, 92, 92)",0.03,0.0,0.08,0.03,0.02,0.0,0.85
143,"(338, 253, 93, 93)",0.02,0.0,0.11,0.04,0.03,0.0,0.79
144,"(339, 254, 92, 92)",0.05,0.0,0.14,0.04,0.03,0.01,0.72
145,"(339, 255, 91, 91)",0.03,0.0,0.08,0.03,0.02,0.01,0.82
146,"(338, 253, 93, 93)",0.06,0.0,0.09,0.01,0.06,0.0,0.76
147,"(337, 249, 98, 98)",0.02,0.0,0.01,0.01,0.02,0.0,0.94
148,"(339, 253, 92, 92)",0.03,0.0,0.07,0.03,0.04,0.0,0.84
149,"(338, 253, 92, 92)",0.02,0.0,0.06,0.04,0.02,0.0,0.86
150,"(339, 254, 91, 91)",0.01,0.0,0.1,0.02,0.02,0.01,0.85
151,"(339, 254, 91, 91)",0.03,0.0,0.1,0.03,0.03,0.01,0.81
152,"(339, 255, 89, 89)",0.02,0.0,0.06,0.02,0.02,0.0,0.88
153,"(339, 254, 91, 91)",0.02,0.0,0.12,0.02,0.03,0.01,0.81
154,"(337, 250, 97, 97)",0.04,0.0,0.13,0.05,0.04,0.0,0.73
155,"(337, 253, 94, 94)",0.03,0.0,0.11,0.06,0.03,0.02,0.74
156,"(337, 253, 94, 94)",0.04,0.01,0.17,0.02,0.05,0.03,0.69
157,"(337, 253, 94, 94)",0.05,0.01,0.17,0.05,0.05,0.02,0.64
158,"(337, 252, 96, 96)",0.04,0.01,0.11,0.06,0.03,0.02,0.73
159,"(337, 249, 100, 100)",0.03,0.0,0.07,0.05,0.03,0.01,0.81
160,"(337, 253, 94, 94)",0.07,0.02,0.22,0.07,0.05,0.02,0.54
161,"(337, 253, 94, 94)",0.07,0.01,0.15,0.05,0.03,0.02,0.67
162,"(335, 249, 101, 101)",0.06,0.01,0.07,0.11,0.04,0.01,0.71
163,"(337, 250, 98, 98)",0.06,0.01,0.12,0.12,0.04,0.01,0.64
164,"(338, 253, 94, 94)",0.06,0.01,0.16,0.04,0.03,0.01,0.69
165,"(337, 250, 97, 97)",0.03,0.0,0.08,0.07,0.03,0.0,0.79
166,"(336, 248, 99, 99)",0.02,0.0,0.04,0.06,0.05,0.0,0.84
167,"(337, 250, 96, 96)",0.03,0.0,0.03,0.02,0.04,0.0,0.88
168,"(338, 250, 95, 95)",0.02,0.0,0.04,0.02,0.04,0.0,0.87
169,"(338, 250, 95, 95)",0.03,0.0,0.04,0.02,0.05,0.0,0.86
170,"(340, 253, 90, 90)",0.01,0.0,0.07,0.04,0.03,0.0,0.84
171,"(337, 250, 96, 96)",0.02,0.0,0.02,0.03,0.02,0.0,0.9
172,"(340, 253, 91, 91)",0.02,0.0,0.06,0.01,0.04,0.0,0.87
173,"(339, 253, 91, 91)",0.03,0.0,0.06,0.03,0.05,0.0,0.84
174,"(341, 254, 89, 89)",0.01,0.0,0.07,0.04,0.04,0.0,0.84
175,"(341, 254, 90, 90)",0.02,0.0,0.04,0.04,0.03,0.0,0.87
176,"(340, 253, 91, 91)",0.01,0.0,0.04,0.02,0.02,0.0,0.91
177,"(341, 254, 90, 90)",0.02,0.0,0.07,0.03,0.04,0.0,0.84
178,"(341, 254, 90, 90)",0.02,0.0,0.09,0.03,0.04,0.0,0.81
179,"(341, 253, 91, 91)",0.01,0.0,0.07,0.01,0.03,0.0,0.87
180,"(340, 254, 90, 90)",0.02,0.0,0.09,0.02,0.04,0.0,0.83
181,"(341, 254, 90, 90)",0.01,0.0,0.08,0.02,0.03,0.0,0.86
182,"(342, 254, 89, 89)",0.02,0.0,0.08,0.03,0.03,0.0,0.85
183,"(342, 255, 88, 88)",0.01,0.0,0.1,0.02,0.03,0.0,0.85
184,"(343, 256, 88, 88)",0.01,0.0,0.04,0.01,0.01,0.0,0.92
185,"(342, 250, 94, 94)",0.01,0.0,0.02,0.01,0.03,0.0,0.92
186,"(342, 251, 94, 94)",0.01,0.0,0.02,0.02,0.02,0.0,0.92
187,"(341, 248, 98, 98)",0.01,0.0,0.01,0.01,0.03,0.0,0.93
188,"(341, 248, 98, 98)",0.01,0.0,0.02,0.01,0.02,0.0,0.95
189,"(342, 248, 97, 97)",0.01,0.0,0.01,0.01,0.02,0.0,0.95
190,"(343, 251, 94, 94)",0.0,0.0,0.02,0.01,0.01,0.0,0.96
191,"(341, 248, 98, 98)",0.01,0.0,0.02,0.01,0.01,0.0,0.95
192,"(343, 251, 94, 94)",0.01,0.0,0.03,0.01,0.02,0.0,0.93
193,"(344, 252, 92, 92)",0.01,0.0,0.05,0.0,0.02,0.0,0.92
194,"(343, 251, 94, 94)",0.01,0.0,0.05,0.01,0.02,0.0,0.91
195,"(343, 250, 96, 96)",0.01,0.0,0.04,0.0,0.02,0.0,0.93
196,"(343, 251, 95, 95)",0.0,0.0,0.02,0.0,0.01,0.0,0.96
197,"(343, 251, 94, 94)",0.01,0.0,0.03,0.01,0.02,0.0,0.93
198,"(342, 250, 96, 96)",0.02,0.0,0.02,0.01,0.02,0.0,0.93
199,"(341, 249, 98, 98)",0.01,0.0,0.05,0.01,0.04,0.0,0.89
200,"(342, 250, 97, 97)",0.0,0.0,0.05,0.0,0.02,0.0,0.91
201,"(342, 250, 98, 98)",0.01,0.0,0.14,0.0,0.05,0.01,0.8
202,"(342, 250, 98, 98)",0.01,0.0,0.14,0.0,0.06,0.01,0.78
203,"(341, 249, 99, 99)",0.01,0.0,0.1,0.0,0.05,0.01,0.83
204,"(341, 249, 99, 99)",0.01,0.0,0.12,0.0,0.05,0.01,0.81
205,"(341, 248, 100, 100)",0.01,0.0,0.14,0.0,0.06,0.01,0.79
206,"(341, 249, 99, 99)",0.0,0.0,0.09,0.0,0.04,0.01,0.85
207,"(341, 250, 98, 98)",0.01,0.0,0.09,0.0,0.04,0.01,0.85
208,"(342, 249, 98, 98)",0.01,0.0,0.11,0.0,0.05,0.01,0.82
209,"(340, 247, 102, 102)",0.01,0.0,0.07,0.01,0.03,0.01,0.87
210,"(340, 247, 102, 102)",0.01,0.0,0.1,0.01,0.04,0.01,0.83
211,"(342, 249, 98, 98)",0.01,0.0,0.08,0.01,0.02,0.01,0.88
212,"(342, 250, 97, 97)",0.01,0.0,0.11,0.0,0.03,0.01,0.84
213,"(342, 249, 98, 98)",0.01,0.0,0.1,0.0,0.03,0.01,0.85
214,"(343, 250, 97, 97)",0.0,0.0,0.1,0.0,0.03,0.0,0.87
215,"(343, 250, 97, 97)",0.01,0.0,0.16,0.0,0.04,0.01,0.79
216,"(342, 249, 98, 98)",0.0,0.0,0.05,0.0,0.02,0.01,0.91
217,"(343, 249, 97, 97)",0.01,0.0,0.1,0.0,0.03,0.0,0.85
218,"(344, 251, 95, 95)",0.0,0.0,0.07,0.0,0.02,0.0,0.9
219,"(343, 250, 96, 96)",0.0,0.0,0.07,0.0,0.02,0.01,0.9
220,"(344, 251, 94, 94)",0.01,0.0,0.08,0.0,0.02,0.0,0.89
221,"(344, 251, 95, 95)",0.01,0.0,0.12,0.0,0.02,0.0,0.85
222,"(343, 250, 96, 96)",0.0,0.0,0.07,0.0,0.02,0.0,0.9
223,"(344, 250, 95, 95)",0.0,0.0,0.07,0.0,0.02,0.0,0.9
224,"(343, 250, 96, 96)",0.0,0.0,0.07,0.0,0.02,0.0,0.9
225,"(343, 249, 97, 97)",0.0,0.0,0.08,0.0,0.03,0.0,0.89
226,"(344, 251, 94, 94)",0.0,0.0,0.08,0.0,0.01,0.0,0.9
227,"(343, 251, 95, 95)",0.01,0.0,0.04,0.0,0.01,0.01,0.93
228,"(343, 250, 95, 95)",0.03,0.0,0.07,0.0,0.04,0.0,0.86
229,"(343, 249, 96, 96)",0.01,0.0,0.03,0.0,0.02,0.0,0.94
230,"(342, 248, 98, 98)",0.02,0.0,0.02,0.0,0.03,0.0,0.93
231,"(342, 247, 98, 98)",0.04,0.0,0.02,0.0,0.04,0.0,0.9
232,"(344, 249, 96, 96)",0.04,0.0,0.04,0.0,0.03,0.0,0.9
233,"(344, 248, 97, 97)",0.01,0.0,0.06,0.0,0.02,0.0,0.91
234,"(343, 245, 101, 101)",0.03,0.0,0.11,0.01,0.03,0.02,0.8
235,"(341, 242, 105, 105)",0.06,0.0,0.25,0.05,0.09,0.18,0.37
236,"(342, 246, 104, 104)",0.11,0.0,0.35,0.02,0.1,0.15,0.28
237,"(343, 246, 104, 104)",0.15,0.0,0.32,0.04,0.16,0.16,0.16
238,"(344, 247, 103, 103)",0.15,0.0,0.15,0.24,0.14,0.25,0.07
239,"(345, 247, 103, 103)",0.15,0.0,0.14,0.28,0.2,0.17,0.06
240,"(346, 247, 102, 102)",0.14,0.0,0.23,0.18,0.11,0.26,0.08
241,"(346, 247, 103, 103)",0.09,0.0,0.09,0.48,0.08,0.21,0.05
242,"(347, 247, 102, 102)",0.11,0.0,0.16,0.4,0.11,0.16,0.06
243,"(348, 247, 102, 102)",0.15,0.0,0.2,0.31,0.1,0.16,0.08
244,"(348, 247, 102, 102)",0.1,0.0,0.15,0.38,0.08,0.16,0.12
245,"(347, 246, 103, 103)",0.07,0.0,0.06,0.62,0.06,0.08,0.12
246,"(347, 246, 103, 103)",0.1,0.0,0.1,0.43,0.13,0.08,0.15
247,"(347, 245, 104, 104)",0.06,0.0,0.1,0.56,0.09,0.08,0.11
248,"(348, 246, 103, 103)",0.05,0.0,0.1,0.48,0.14,0.04,0.18
249,"(348, 246, 102, 102)",0.01,0.0,0.1,0.12,0.06,0.04,0.67
250,"(349, 244, 101, 101)",0.02,0.0,0.15,0.12,0.05,0.01,0.65
251,"(354, 257, 88, 88)",0.01,0.0,0.01,0.02,0.01,0.0,0.95
252,"(349, 243, 98, 98)",0.01,0.0,0.02,0.01,0.02,0.0,0.93
253,"(352, 248, 93, 93)",0.01,0.0,0.03,0.01,0.01,0.0,0.95
254,"(352, 247, 92, 92)",0.01,0.0,0.03,0.02,0.02,0.0,0.91
255,"(352, 247, 93, 93)",0.01,0.0,0.03,0.01,0.02,0.0,0.94
256,"(352, 248, 92, 92)",0.01,0.0,0.03,0.01,0.02,0.0,0.92
257,"(351, 248, 92, 92)",0.02,0.0,0.03,0.01,0.02,0.0,0.92
258,"(350, 250, 90, 90)",0.03,0.0,0.05,0.02,0.02,0.0,0.89
259,"(349, 248, 94, 94)",0.02,0.0,0.04,0.01,0.02,0.0,0.92
260,"(348, 248, 94, 94)",0.02,0.0,0.03,0.02,0.02,0.0,0.92
261,"(346, 247, 97, 97)",0.01,0.0,0.04,0.03,0.02,0.0,0.91
262,"(345, 250, 94, 94)",0.02,0.0,0.11,0.06,0.04,0.0,0.77
263,"(342, 246, 102, 102)",0.12,0.01,0.23,0.07,0.1,0.02,0.45
264,"(341, 246, 102, 102)",0.08,0.01,0.3,0.06,0.1,0.08,0.36
265,"(341, 246, 100, 100)",0.03,0.0,0.14,0.02,0.04,0.01,0.76
266,"(343, 247, 96, 96)",0.07,0.0,0.03,0.0,0.06,0.0,0.82
267,"(343, 248, 95, 95)",0.06,0.0,0.06,0.0,0.07,0.0,0.81
268,"(342, 248, 95, 95)",0.04,0.0,0.03,0.01,0.05,0.0,0.88
269,"(337, 244, 103, 103)",0.03,0.0,0.03,0.1,0.04,0.0,0.79
270,"(338, 246, 100, 100)",0.07,0.01,0.08,0.13,0.05,0.01,0.65
271,"(337, 246, 101, 101)",0.09,0.01,0.05,0.27,0.04,0.0,0.54
272,"(336, 245, 102, 102)",0.04,0.0,0.02,0.32,0.02,0.0,0.59
273,"(336, 245, 103, 103)",0.1,0.0,0.04,0.41,0.04,0.0,0.41
274,"(337, 246, 101, 101)",0.12,0.01,0.09,0.24,0.05,0.0,0.49
275,"(336, 245, 102, 102)",0.05,0.0,0.03,0.37,0.02,0.0,0.52
276,"(336, 245, 103, 103)",0.07,0.0,0.04,0.26,0.03,0.0,0.58
277,"(336, 245, 102, 102)",0.03,0.0,0.02,0.34,0.02,0.0,0.59
278,"(336, 246, 101, 101)",0.05,0.0,0.04,0.33,0.03,0.0,0.56
279,"(336, 245, 101, 101)",0.04,0.01,0.03,0.42,0.03,0.0,0.46
280,"(336, 244, 102, 102)",0.01,0.0,0.02,0.37,0.02,0.0,0.58
281,"(336, 244, 101, 101)",0.01,0.0,0.02,0.3,0.02,0.0,0.65
282,"(336, 245, 101, 101)",0.01,0.0,0.01,0.17,0.02,0.0,0.79
283,"(340, 249, 94, 94)",0.01,0.0,0.02,0.19,0.02,0.01,0.76
284,"(340, 249, 94, 94)",0.01,0.0,0.02,0.19,0.01,0.0,0.77
285,"(339, 248, 95, 95)",0.01,0.0,0.02,0.17,0.04,0.0,0.75
286,"(340, 248, 95, 95)",0.01,0.0,0.01,0.2,0.01,0.0,0.77
287,"(340, 248, 95, 95)",0.01,0.0,0.01,0.2,0.01,0.0,0.76
